id,route_or_scope,page_or_context,source_file,line,placement,original_text,purpose,background,polish_notes
C015,/about,产品说明页,src/app/about/page.tsx,56,CTA/导航,查看隐私与数据边界 →,推动下一步操作或页面跳转。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C016,/encounter/first,首次相遇 / 首次对手戏,src/app/encounter/first/page.tsx,16,眉题/舞台标签,SCENE 06 · 对手戏：两个不同的思考方式，在同一个真实问题上相遇,说明场景、阶段或信息类型。,展示 Persona 匹配与围绕真实知乎问题的第一次短对话。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C017,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,17,标签/状态,公开创作,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C018,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,17,标签/状态,理解你的表达方式,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C019,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,17,标签/状态,读取你公开的回答、文章、想法等，用于分析语言风格、思考方式与观点特征。,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C020,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,18,标签/状态,关注,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C021,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,18,标签/状态,理解你的长期兴趣,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C022,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,18,标签/状态,读取你公开关注的用户等，了解持续关注的领域与兴趣方向。,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C023,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,19,标签/状态,公开收藏,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C024,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,19,标签/状态,理解你真正留下什么,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C025,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,19,标签/状态,读取你公开收藏的内容，发现反复认可的知识、观点与价值取向。,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C026,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,30,标题,孵化需要一点,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C027,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,30,标题,你的,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C028,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,30,标题,知乎,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C029,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,30,标题,成分。,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C030,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,31,说明正文,这些公开内容，用来理解一个更像你的它。不是复制你，而是从你的思想轨迹里，孵化出一个更完整的你。,解释机制、原因、边界或当前发生了什么。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C031,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,50,其他固定 UI 文案,这些线索，让我们更懂你。,页面可见的固定文字或开发/兜底可见文本。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C032,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,55,标题,我们需要以下授权,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C033,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,55,标题,来理解更真实的你：,建立页面/卡片主命题与注意力层级。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C034,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,69,其他固定 UI 文案,我们有明确的数据边界：,页面可见的固定文字或开发/兜底可见文本。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C035,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,70,标签/状态,✓ 不读取：私信 / 手机号 / 邮箱,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C036,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,71,标签/状态,✓ 不会：自动发布 / 自动私信,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C037,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,75,标签/状态,数据怎么用？,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C038,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,75,标签/状态,数据怎么用？ →,给指标、状态、角色或来源提供短标签。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C039,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,76,说明正文,公开创作、关注和公开收藏会先转成结构化「知乎成分」，再用于 Persona、匹配解释和后续 outing。,解释机制、原因、边界或当前发生了什么。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C040,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,77,说明正文,登录与数据请求都由后端完成，前端只接收已经整理过的产品结果。,解释机制、原因、边界或当前发生了什么。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C041,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,78,说明正文,私信、手机号、邮箱以及自动发布、自动私信不在本产品的数据边界内。,解释机制、原因、边界或当前发生了什么。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C042,/hatch/consent,授权页,src/app/hatch/consent/page.tsx,79,其他固定 UI 文案,查看完整数据边界 →,页面可见的固定文字或开发/兜底可见文本。,在 OAuth 前解释为什么需要公开创作、关注、公开收藏，以及数据边界。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C043,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,15,眉题/舞台标签,ACT 02 · CASTING · 正在扫描你的知乎宇宙,说明场景、阶段或信息类型。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C044,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,16,标题,正在读取,建立页面/卡片主命题与注意力层级。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C045,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,16,标题,你的,建立页面/卡片主命题与注意力层级。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C046,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,16,标题,知乎,建立页面/卡片主命题与注意力层级。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C047,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,16,标题,宇宙…,建立页面/卡片主命题与注意力层级。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C048,/hatch/scanning,扫描 / casting,src/app/hatch/scanning/page.tsx,17,说明正文,先别急，它还在壳里整理你留下的线索。,解释机制、原因、边界或当前发生了什么。,把真实知乎公开数据读取过程表现成孵化中的“读线索”舞台。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C049,/,公开首屏 / 序幕,src/app/page.tsx,12,无障碍/图像说明,人格蛋与刘看山主视觉,帮助屏幕阅读器或解释视觉对象。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C050,/,公开首屏 / 序幕,src/app/page.tsx,16,标签/状态,要开幕吗？,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C051,/,公开首屏 / 序幕,src/app/page.tsx,27,眉题/舞台标签,知乎 × 谢邀喵 · AI 数字人格,说明场景、阶段或信息类型。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C052,/,公开首屏 / 序幕,src/app/page.tsx,30,眉题/舞台标签,知乎 × 谢邀喵 · AI 数字人格,说明场景、阶段或信息类型。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C053,/,公开首屏 / 序幕,src/app/page.tsx,32,标签/状态,你在,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C054,/,公开首屏 / 序幕,src/app/page.tsx,32,标签/状态,知乎,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C055,/,公开首屏 / 序幕,src/app/page.tsx,32,标签/状态,这些年，,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C056,/,公开首屏 / 序幕,src/app/page.tsx,33,标签/状态,其实已经偷偷,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C057,/,公开首屏 / 序幕,src/app/page.tsx,34,标签/状态,养出了一只,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C058,/,公开首屏 / 序幕,src/app/page.tsx,34,标签/状态,东西,给指标、状态、角色或来源提供短标签。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C059,/,公开首屏 / 序幕,src/app/page.tsx,36,说明正文,每一个认真提问的人，都值得被看见。,解释机制、原因、边界或当前发生了什么。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C060,/,公开首屏 / 序幕,src/app/page.tsx,37,说明正文,它由你的公开创作、关注与收藏长出来。不是复制你，而是把长期留下的兴趣与表达方式，孵化成一只会继续逛知乎、带回问题、也会认识别人的 AI 数字人格。,解释机制、原因、边界或当前发生了什么。,让未授权用户快速理解“知乎足迹会孵化出一只会继续生活的 AI 数字人格”，主目标是进入孵化。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C061,/privacy,隐私与数据边界,src/app/privacy/page.tsx,9,标题,我们读取什么,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C062,/privacy,隐私与数据边界,src/app/privacy/page.tsx,10,说明正文,仅基于你在知乎的公开内容,解释机制、原因、边界或当前发生了什么。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C063,/privacy,隐私与数据边界,src/app/privacy/page.tsx,11,其他固定 UI 文案,公开创作 · 用来理解你的表达,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C064,/privacy,隐私与数据边界,src/app/privacy/page.tsx,11,其他固定 UI 文案,关注 · 用来理解兴趣方向,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C065,/privacy,隐私与数据边界,src/app/privacy/page.tsx,11,其他固定 UI 文案,公开收藏 · 用来理解长期偏好,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C066,/privacy,隐私与数据边界,src/app/privacy/page.tsx,15,标题,我们不读取什么,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C067,/privacy,隐私与数据边界,src/app/privacy/page.tsx,16,说明正文,以下私人信息不会被获取,解释机制、原因、边界或当前发生了什么。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C068,/privacy,隐私与数据边界,src/app/privacy/page.tsx,17,其他固定 UI 文案,私信 · 不会读取你的私信内容,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C069,/privacy,隐私与数据边界,src/app/privacy/page.tsx,17,其他固定 UI 文案,手机号 · 不会获取你的手机号,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C070,/privacy,隐私与数据边界,src/app/privacy/page.tsx,17,其他固定 UI 文案,邮箱 · 不会获取你的邮箱,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C071,/privacy,隐私与数据边界,src/app/privacy/page.tsx,21,标题,我们不会做什么,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C072,/privacy,隐私与数据边界,src/app/privacy/page.tsx,22,说明正文,我们不会进行以下行为,解释机制、原因、边界或当前发生了什么。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C073,/privacy,隐私与数据边界,src/app/privacy/page.tsx,23,其他固定 UI 文案,自动发布 · 不会代表你发布内容,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C074,/privacy,隐私与数据边界,src/app/privacy/page.tsx,23,其他固定 UI 文案,自动私信 · 不会向他人发送私信,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C075,/privacy,隐私与数据边界,src/app/privacy/page.tsx,23,其他固定 UI 文案,用于广告投放 · 不会将数据用于商业广告,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C076,/privacy,隐私与数据边界,src/app/privacy/page.tsx,27,标题,你可以做什么,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C077,/privacy,隐私与数据边界,src/app/privacy/page.tsx,28,说明正文,你始终拥有控制权,解释机制、原因、边界或当前发生了什么。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C078,/privacy,隐私与数据边界,src/app/privacy/page.tsx,29,其他固定 UI 文案,删除数据 · 可随时申请删除相关数据,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C079,/privacy,隐私与数据边界,src/app/privacy/page.tsx,29,其他固定 UI 文案,退出授权 · 可随时取消授权,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C080,/privacy,隐私与数据边界,src/app/privacy/page.tsx,29,其他固定 UI 文案,管理分享可见性 · 可设置内容的可见范围,页面可见的固定文字或开发/兜底可见文本。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C081,/privacy,隐私与数据边界,src/app/privacy/page.tsx,37,眉题/舞台标签,返回序幕,说明场景、阶段或信息类型。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C082,/privacy,隐私与数据边界,src/app/privacy/page.tsx,41,标题,你的数据，,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C083,/privacy,隐私与数据边界,src/app/privacy/page.tsx,41,标题,只用来认识你的,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C084,/privacy,隐私与数据边界,src/app/privacy/page.tsx,41,标题,另一面,建立页面/卡片主命题与注意力层级。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C085,/privacy,隐私与数据边界,src/app/privacy/page.tsx,42,说明正文,我们尊重你的隐私，只在你授权的范围内，用公开的内容，帮助你孵化另一个更像你的自己。,解释机制、原因、边界或当前发生了什么。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C086,/privacy,隐私与数据边界,src/app/privacy/page.tsx,58,CTA/导航,开始孵化,推动下一步操作或页面跳转。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C087,/privacy,隐私与数据边界,src/app/privacy/page.tsx,59,CTA/导航,返回序幕,推动下一步操作或页面跳转。,建立授权信任，明确读取范围、不会做的事以及用户控制权。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C088,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,12,眉题/舞台标签,SCENE 07 · 第一段关系成立,说明场景、阶段或信息类型。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C089,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,14,眉题/舞台标签,SCENE 07 · 第一次相遇 · 第一段关系成立,说明场景、阶段或信息类型。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C090,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,15,标题,第一段关系，,建立页面/卡片主命题与注意力层级。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C091,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,15,标题,已经,建立页面/卡片主命题与注意力层级。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C092,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,15,标题,成立,建立页面/卡片主命题与注意力层级。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C093,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,25,其他固定 UI 文案,第一段关系，已经成立。,页面可见的固定文字或开发/兜底可见文本。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C094,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,30,标签/状态,都相信技术是人的延伸,给指标、状态、角色或来源提供短标签。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C095,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,30,标签/状态,用工具放大善意，让好奇走得更远。,给指标、状态、角色或来源提供短标签。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C096,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,31,标签/状态,对问题有长期耐心,给指标、状态、角色或来源提供短标签。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C097,/share/[cardId],关系分享卡,src/app/share/[cardId]/page.tsx,31,标签/状态,相信时间会给出更好的答案。,给指标、状态、角色或来源提供短标签。,把第一次关系成立包装成可保存/分享的纪念场景。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
